Common name	Scientific name	Status	No.	No. Back
Chestnut-colored Woodpecker	Celeus castaneus		13	3
Chestnut Woodpecker	Celeus elegans		37	14
Pale-crested Woodpecker	Celeus lugubris		21	2
Blond-crested Woodpecker	Celeus flavescens		59	14
Cream-colored Woodpecker	Celeus flavus		71	41
Rufous-headed Woodpecker	Celeus spectabilis		23	9
Ringed Woodpecker	Celeus torquatus		73	14
Helmeted Woodpecker	Dryocopus galeatus		27	0
Black-bodied Woodpecker	Dryocopus schulzi		7	0
Lineated Woodpecker	Dryocopus lineatus		214	91
Pileated Woodpecker	Dryocopus pileatus		107	50
Powerful Woodpecker	Campephilus pollens		67	7
Crimson-bellied Woodpecker	Campephilus haematogaster		45	1
Red-necked Woodpecker	Campephilus rubricollis		85	84
Robust Woodpecker	Campephilus robustus		44	2
Crimson-crested Woodpecker	Campephilus melanoleucos		124	62
Pale-billed Woodpecker	Campephilus guatemalensis		55	8
Guayaquil Woodpecker	Campephilus gayaquilensis		45	19
Cream-backed Woodpecker	Campephilus leucopogon		21	5
Magellanic Woodpecker	Campephilus magellanicus		27	0
Ivory-billed Woodpecker	Campephilus principalis		0	0
Imperial Woodpecker	Campephilus imperialis		0	0
Black Caracara	Daptrius ater		58	18
Red-throated Caracara	Ibycter americanus		137	33
Carunculated Caracara	Phalcoboenus carunculatus		3	0
Mountain Caracara	Phalcoboenus megalopterus		5	0
White-throated Caracara	Phalcoboenus albogularis		1	0
Striated Caracara	Phalcoboenus australis		4	0
Northern Crested Caracara	Caracara cheriway		39	2
Southern Crested Caracara	Caracara plancus		61	11
Yellow-headed Caracara	Milvago chimachima		165	35
Chimango Caracara	Milvago chimango		49	11
Laughing Falcon	Herpetotheres cachinnans		205	60
Barred Forest Falcon	Micrastur ruficollis		314	97
Plumbeous Forest Falcon	Micrastur plumbeus		20	1
Lined Forest Falcon	Micrastur gilvicollis		68	66
Cryptic Forest Falcon	Micrastur mintoni		45	6
Slaty-backed Forest Falcon	Micrastur mirandollei		56	22
Collared Forest Falcon	Micrastur semitorquatus		188	62
Buckley's Forest Falcon	Micrastur buckleyi		27	4
Spot-winged Falconet	Spiziapteryx circumcincta		14	0
Common Kestrel	Falco tinnunculus		154	44
American Kestrel	Falco sparverius		66	16
Red-footed Falcon	Falco vespertinus		22	6
Aplomado Falcon	Falco femoralis		33	0
Merlin	Falco columbarius		54	3
Bat Falcon	Falco rufigularis		65	13
Orange-breasted Falcon	Falco deiroleucus		22	0
Eurasian Hobby	Falco subbuteo		78	10
Gyrfalcon	Falco rusticolus		6	0
Prairie Falcon	Falco mexicanus		10	4
Peregrine Falcon	Falco peregrinus		107	5
Cockatiel	Nymphicus hollandicus		15	5
Budgerigar	Melopsittacus undulatus		15	13
Rose-ringed Parakeet	Psittacula krameri		191	126
Blossom-headed Parakeet	Psittacula roseata		10	0
Rosy-faced Lovebird	Agapornis roseicollis		29	1
Hyacinth Macaw	Anodorhynchus hyacinthinus		70	10
Lear's Macaw	Anodorhynchus leari		30	3
Spix's Macaw	Cyanopsitta spixii		3	0
Blue-and-yellow Macaw	Ara ararauna		99	191
Blue-throated Macaw	Ara glaucogularis		12	2
Military Macaw	Ara militaris		97	6
Great Green Macaw	Ara ambiguus		23	6
Scarlet Macaw	Ara macao		67	95
Red-and-green Macaw	Ara chloropterus		68	58
Red-fronted Macaw	Ara rubrogenys		7	0
Chestnut-fronted Macaw	Ara severus		105	160
Red-bellied Macaw	Orthopsittaca manilatus		65	110
Blue-headed Macaw	Primolius couloni		22	33
Blue-winged Macaw	Primolius maracana		35	11
Golden-collared Macaw	Primolius auricollis		34	9
Red-shouldered Macaw	Diopsittaca nobilis		54	19
Thick-billed Parrot	Rhynchopsitta pachyrhyncha		24	16
Maroon-fronted Parrot	Rhynchopsitta terrisi		13	1
Yellow-eared Parrot	Ognorhynchus icterotis		68	0
Golden Parakeet	Guaruba guarouba		10	2
Dusky-headed Parakeet	Aratinga weddellii		40	73
Sun Parakeet	Aratinga solstitialis		6	0
Nanday Parakeet	Aratinga nenday		22	5
Jandaya Parakeet	Aratinga jandaya		15	7
Golden-capped Parakeet	Aratinga auricapillus		29	6
Olive-throated Parakeet	Eupsittula nana		29	8
Orange-fronted Parakeet	Eupsittula canicularis		38	29
Peach-fronted Parakeet	Eupsittula aurea		59	25
Brown-throated Parakeet	Eupsittula pertinax		53	49
Caatinga Parakeet	Eupsittula cactorum		26	9
Blue-crowned Parakeet	Thectocercus acuticaudatus		64	21
Green Parakeet	Psittacara holochlorus		14	5
Socorro Parakeet	Psittacara brevipes		1	0
Red-throated Parakeet	Psittacara rubritorquis		10	1
Pacific Parakeet	Psittacara strenuus		9	3
Scarlet-fronted Parakeet	Psittacara wagleri		73	38
Mitred Parakeet	Psittacara mitratus		72	24
Red-masked Parakeet	Psittacara erythrogenys		56	20
Finsch's Parakeet	Psittacara finschi		18	13
White-eyed Parakeet	Psittacara leucophthalmus		122	77
Hispaniolan Parakeet	Psittacara chloropterus		3	0
Golden-plumed Parakeet	Leptosittaca branickii		72	7
Burrowing Parrot	Cyanoliseus patagonus		32	1
Ochre-marked Parakeet	Pyrrhura cruentata		9	1
Blaze-winged Parakeet	Pyrrhura devillei		6	1
Maroon-bellied Parakeet	Pyrrhura frontalis		73	52
Pearly Parakeet	Pyrrhura lepida		9	1
Crimson-bellied Parakeet	Pyrrhura perlata		16	0
Green-cheeked Parakeet	Pyrrhura molinae		40	19
Painted Parakeet	Pyrrhura picta		27	5
Bonaparte's Parakeet	Pyrrhura lucianii		1	0
Rose-fronted Parakeet	Pyrrhura roseifrons		9	33
White-eared Parakeet	Pyrrhura leucotis		13	5
Pfrimer's Parakeet	Pyrrhura pfrimeri		10	0
Santa Marta Parakeet	Pyrrhura viridicata		15	1
Fiery-shouldered Parakeet	Pyrrhura egregia		10	0
Maroon-tailed Parakeet	Pyrrhura melanura		57	12
El Oro Parakeet	Pyrrhura orcesi		14	0
Black-capped Parakeet	Pyrrhura rupicola		17	7
White-breasted Parakeet	Pyrrhura albipectus		18	1
Flame-winged Parakeet	Pyrrhura calliptera		21	0
Blood-eared Parakeet	Pyrrhura hoematotis		10	0
Rose-crowned Parakeet	Pyrrhura rhodocephala		8	0
Sulphur-winged Parakeet	Pyrrhura hoffmanni		4	2
Austral Parakeet	Enicognathus ferrugineus		31	3
Slender-billed Parakeet	Enicognathus leptorhynchus		17	0
Monk Parakeet	Myiopsitta monachus		125	68
Grey-hooded Parakeet	Psilopsiagon aymara		14	6
Mountain Parakeet	Psilopsiagon aurifrons		19	0
Barred Parakeet	Bolborhynchus lineola		59	14
Andean Parakeet	Bolborhynchus orbygnesius		20	0
Rufous-fronted Parakeet	Bolborhynchus ferrugineifrons		12	0
Mexican Parrotlet	Forpus cyanopygius		18	4
Green-rumped Parrotlet	Forpus passerinus		25	5
Blue-winged Parrotlet	Forpus xanthopterygius		61	37
Spectacled Parrotlet	Forpus conspicillatus		45	10
Dusky-billed Parrotlet	Forpus modestus		20	6
Pacific Parrotlet	Forpus coelestis		36	35
Yellow-faced Parrotlet	Forpus xanthops		10	1
Plain Parakeet	Brotogeris tirica		57	79
White-winged Parakeet	Brotogeris versicolurus		17	10
Yellow-chevroned Parakeet	Brotogeris chiriri		68	100
Grey-cheeked Parakeet	Brotogeris pyrrhoptera		25	9
Orange-chinned Parakeet	Brotogeris jugularis		81	103
Cobalt-winged Parakeet	Brotogeris cyanoptera		61	239
Golden-winged Parakeet	Brotogeris chrysoptera		56	32
Tui Parakeet	Brotogeris sanctithomae		31	87
Tepui Parrotlet	Nannopsittaca panychlora		9	0
Manu Parrotlet	Nannopsittaca dachilleae		2	2
Lilac-tailed Parrotlet	Touit batavicus		10	0
Scarlet-shouldered Parrotlet	Touit huetii		20	5
Red-fronted Parrotlet	Touit costaricensis		1	0
Blue-fronted Parrotlet	Touit dilectissimus		29	0
Sapphire-rumped Parrotlet	Touit purpuratus		21	3
Brown-backed Parrotlet	Touit melanonotus		16	0
Golden-tailed Parrotlet	Touit surdus		9	0
Spot-winged Parrotlet	Touit stictopterus		18	0
Black-headed Parrot	Pionites melanocephalus		56	11
White-bellied Parrot	Pionites leucogaster		48	36
Brown-hooded Parrot	Pyrilia haematotis		25	4
Rose-faced Parrot	Pyrilia pulchra		29	7
Orange-cheeked Parrot	Pyrilia barrabandi		24	19
Saffron-headed Parrot	Pyrilia pyrilia		21	6
Caica Parrot	Pyrilia caica		17	5
Vulturine Parrot	Pyrilia vulturina		3	0
Pileated Parrot	Pionopsitta pileata		38	7
Black-winged Parrot	Hapalopsittaca melanotis		10	0
Rusty-faced Parrot	Hapalopsittaca amazonina		34	1
Fuertes's Parrot	Hapalopsittaca fuertesi		23	2
Red-faced Parrot	Hapalopsittaca pyrrhops		8	1
Yellow-faced Parrot	Alipiopsitta xanthops		14	0
Short-tailed Parrot	Graydidascalus brachyurus		21	2
Blue-headed Parrot	Pionus menstruus		137	266
Red-billed Parrot	Pionus sordidus		56	12
Scaly-headed Parrot	Pionus maximiliani		103	35
Plum-crowned Parrot	Pionus tumultuosus		15	6
White-crowned Parrot	Pionus senilis		27	8
Bronze-winged Parrot	Pionus chalcopterus		57	16
Dusky Parrot	Pionus fuscus		29	15
Hispaniolan Amazon	Amazona ventralis		2	1
White-fronted Amazon	Amazona albifrons		57	32
Yucatan Amazon	Amazona xantholora		8	2
Tucuman Amazon	Amazona tucumana		26	6
Red-spectacled Amazon	Amazona pretrei		10	0
Red-crowned Amazon	Amazona viridigenalis		28	2
Lilac-crowned Amazon	Amazona finschi		40	9
Red-lored Amazon	Amazona autumnalis		100	81
Blue-cheeked Amazon	Amazona dufresniana		18	1
Red-browed Amazon	Amazona rhodocorytha		15	7
Red-tailed Amazon	Amazona brasiliensis		25	2
Festive Amazon	Amazona festiva		21	8
Yellow-shouldered Amazon	Amazona barbadensis		3	0
Turquoise-fronted Amazon	Amazona aestiva		67	46
Yellow-headed Amazon	Amazona oratrix		12	2
Yellow-naped Amazon	Amazona auropalliata		26	11
Yellow-crowned Amazon	Amazona ochrocephala		82	114
Orange-winged Amazon	Amazona amazonica		89	88
Scaly-naped Amazon	Amazona mercenarius		79	32
Kawall's Amazon	Amazona kawalli		20	5
Mealy Amazon	Amazona farinosa		197	379
Vinaceous-breasted Amazon	Amazona vinacea		46	6
Red-fan Parrot	Deroptyus accipitrinus		51	8
Blue-bellied Parrot	Triclaria malachitacea		36	1
Sapayoa	Sapayoa aenigma		20	1
Campo Miner	Geositta poeciloptera		15	0
Common Miner	Geositta cunicularia		25	1
Puna Miner	Geositta punensis		14	0
Short-billed Miner	Geositta antarctica		11	0
Slender-billed Miner	Geositta tenuirostris		16	0
Greyish Miner	Geositta maritima		7	0
Coastal Miner	Geositta peruviana		3	0
Dark-winged Miner	Geositta saxicolina		10	0
Rufous-banded Miner	Geositta rufipennis		42	5
Creamy-rumped Miner	Geositta isabellina		10	0
Thick-billed Miner	Geositta crassirostris		11	0
Straight-billed Earthcreeper	Ochetorhynchus ruficaudus		13	0
Rock Earthcreeper	Ochetorhynchus andaecola		22	5
Band-tailed Earthcreeper	Ochetorhynchus phoenicurus		10	0
Crag Chilia	Ochetorhynchus melanurus		14	0
Buff-breasted Earthcreeper	Upucerthia validirostris		38	2
White-throated Earthcreeper	Upucerthia albigula		8	0
Scaly-throated Earthcreeper	Upucerthia dumetaria		19	1
Striated Earthcreeper	Geocerthia serrana		19	0
Bolivian Earthcreeper	Tarphonomus harterti		21	2
Chaco Earthcreeper	Tarphonomus certhioides		39	14
Long-tailed Cinclodes	Cinclodes pabsti		17	1
Blackish Cinclodes	Cinclodes antarcticus		4	2
Buff-winged Cinclodes	Cinclodes fuscus		23	1
Stout-billed Cinclodes	Cinclodes excelsior		25	2
Royal Cinclodes	Cinclodes aricomae		7	0
White-winged Cinclodes	Cinclodes atacamensis		9	0
White-bellied Cinclodes	Cinclodes palliatus		11	1
Grey-flanked Cinclodes	Cinclodes oustaleti		10	2
Dark-bellied Cinclodes	Cinclodes patagonicus		26	0
Peruvian Seaside Cinclodes	Cinclodes taczanowskii		8	0
Chilean Seaside Cinclodes	Cinclodes nigrofumosus		6	0
Lesser Hornero	Furnarius minor		20	2
Band-tailed Hornero	Furnarius figulus		52	28
Pale-legged Hornero	Furnarius leucopus		53	38
Bay Hornero	Furnarius torridus		3	1
Rufous Hornero	Furnarius rufus		103	274
Crested Hornero	Furnarius cristatus		23	1
Des Murs's Wiretail	Sylviorthorhynchus desmursii		34	2
Thorn-tailed Rayadito	Aphrastura spinicauda		55	11
Masafuera Rayadito	Aphrastura masafuerae		0	0
Brown-capped Tit-Spinetail	Leptasthenura fuliginiceps		20	3
Tawny Tit-Spinetail	Leptasthenura yanacensis		18	0
Tufted Tit-Spinetail	Leptasthenura platensis		27	1
Plain-mantled Tit-Spinetail	Leptasthenura aegithaloides		45	5
Striolated Tit-Spinetail	Leptasthenura striolata		22	0
Rusty-crowned Tit-Spinetail	Leptasthenura pileata		18	0
White-browed Tit-Spinetail	Leptasthenura xenothorax		22	1
Streak-backed Tit-Spinetail	Leptasthenura striata		9	2
Andean Tit-Spinetail	Leptasthenura andicola		27	2
Araucaria Tit-Spinetail	Leptasthenura setaria		45	7
Perija Thistletail	Asthenes perijana		7	0
White-chinned Thistletail	Asthenes fuliginosa		92	8
Vilcabamba Thistletail	Asthenes vilcabambae		5	0
Ochre-browed Thistletail	Asthenes coryi		9	0
Mouse-colored Thistletail	Asthenes griseomurina		46	6
Eye-ringed Thistletail	Asthenes palpebralis		35	0
Puna Thistletail	Asthenes helleri		24	2
Black-throated Thistletail	Asthenes harterti		24	11
Itatiaia Spinetail	Asthenes moreirae		50	3
Sharp-billed Canastero	Asthenes pyrrholeuca		27	1
Short-billed Canastero	Asthenes baeri		26	1
Canyon Canastero	Asthenes pudibunda		16	1
Rusty-fronted Canastero	Asthenes ottonis		34	2
Maquis Canastero	Asthenes heterura		12	5
Cordilleran Canastero	Asthenes modesta		45	4
Streak-throated Canastero	Asthenes humilis		5	0
Rusty-vented Canastero	Asthenes dorbignyi		33	13
Berlepsch's Canastero	Asthenes berlepschi		10	0
Cipo Canastero	Asthenes luizae		8	0
Streak-backed Canastero	Asthenes wyatti		38	3
Puna Canastero	Asthenes sclateri		20	0
Austral Canastero	Asthenes anthoides		11	0
Hudson's Canastero	Asthenes hudsoni		12	0
Line-fronted Canastero	Asthenes urubambensis		14	1
Many-striped Canastero	Asthenes flammulata		50	7
Junin Canastero	Asthenes virgata		16	0
Scribble-tailed Canastero	Asthenes maculicauda		16	2
Dusky-tailed Canastero	Pseudasthenes humicola		26	5
Patagonian Canastero	Pseudasthenes patagonica		4	0
Cactus Canastero	Pseudasthenes cactorum		12	0
Steinbach's Canastero	Pseudasthenes steinbachi		11	0
Chotoy Spinetail	Schoeniophylax phryganophilus		36	12
White-whiskered Spinetail	Synallaxis candei		30	1
Hoary-throated Spinetail	Synallaxis kollari		17	2
Ochre-cheeked Spinetail	Synallaxis scutata		80	16
Rufous Spinetail	Synallaxis unirufa		120	52
Black-throated Spinetail	Synallaxis castanea		5	0
Rusty-headed Spinetail	Synallaxis fuscorufa		39	12
Rufous-capped Spinetail	Synallaxis ruficapilla		123	90
Bahia Spinetail	Synallaxis whitneyi		35	12
Pinto's Spinetail	Synallaxis infuscata		18	5
Stripe-breasted Spinetail	Synallaxis cinnamomea		67	9
Grey-bellied Spinetail	Synallaxis cinerascens		84	13
Silvery-throated Spinetail	Synallaxis subpudica		35	4
Sooty-fronted Spinetail	Synallaxis frontalis		171	69
Azara's Spinetail	Synallaxis azarae		296	322
Apurimac Spinetail	Synallaxis courseni		16	1
Pale-breasted Spinetail	Synallaxis albescens		192	74
Dark-breasted Spinetail	Synallaxis albigularis		75	70
Cinereous-breasted Spinetail	Synallaxis hypospodia		45	5
Spix's Spinetail	Synallaxis spixi		125	72
Ruddy Spinetail	Synallaxis rutilans		64	15
Chestnut-throated Spinetail	Synallaxis cherriei		41	3
Rufous-breasted Spinetail	Synallaxis erythrothorax		22	3
Slaty Spinetail	Synallaxis brachyura		91	58
Blackish-headed Spinetail	Synallaxis tithys		36	12
White-bellied Spinetail	Synallaxis propinqua		43	8
McConnell's Spinetail	Synallaxis macconnelli		26	2
Dusky Spinetail	Synallaxis moesta		29	6
Cabanis's Spinetail	Synallaxis cabanisi		29	4
Plain-crowned Spinetail	Synallaxis gujanensis		128	62
Maranon Spinetail	Synallaxis maranonica		34	0
White-lored Spinetail	Synallaxis albilora		43	16
Russet-bellied Spinetail	Synallaxis zimmeri		12	0
Necklaced Spinetail	Synallaxis stictothorax		58	18
Great Spinetail	Siptornopsis hypochondriaca		21	1
Red-shouldered Spinetail	Gyalophylax hellmayri		24	1
White-browed Spinetail	Hellmayrea gularis		64	17
Marcapata Spinetail	Cranioleuca marcapatae		32	1
Light-crowned Spinetail	Cranioleuca albiceps		13	2
Rusty-backed Spinetail	Cranioleuca vulpina		64	12
Parker's Spinetail	Cranioleuca vulpecula		17	8
Sulphur-bearded Spinetail	Cranioleuca sulphurifera		12	1
Crested Spinetail	Cranioleuca subcristata		26	0
Stripe-crowned Spinetail	Cranioleuca pyrrhophia		63	43
Bolivian Spinetail	Cranioleuca henricae		16	2
Olive Spinetail	Cranioleuca obsoleta		50	7
Pallid Spinetail	Cranioleuca pallida		50	37
Grey-headed Spinetail	Cranioleuca semicinerea		23	19
Creamy-crested Spinetail	Cranioleuca albicapilla		41	4
Red-faced Spinetail	Cranioleuca erythrops		81	23
Tepui Spinetail	Cranioleuca demissa		16	1
Streak-capped Spinetail	Cranioleuca hellmayri		35	2
Ash-browed Spinetail	Cranioleuca curtata		57	24
Line-cheeked Spinetail	Cranioleuca antisiensis		47	26
Baron's Spinetail	Cranioleuca baroni		24	1
Speckled Spinetail	Cranioleuca gutturata		33	6
Scaled Spinetail	Cranioleuca muelleri		2	0
Yellow-chinned Spinetail	Certhiaxis cinnamomeus		128	87
Red-and-white Spinetail	Certhiaxis mustelinus		17	5
Orinoco Softtail	Thripophaga cherriei		5	1
Striated Softtail	Thripophaga macroura		23	4
Plain Softtail	Thripophaga fusciceps		24	11
Russet-mantled Softtail	Thripophaga berlepschi		11	3
Rufous-fronted Thornbird	Phacellodomus rufifrons		75	43
Little Thornbird	Phacellodomus sibilatrix		19	3
Streak-fronted Thornbird	Phacellodomus striaticeps		40	13
Freckle-breasted Thornbird	Phacellodomus striaticollis		23	4
Spot-breasted Thornbird	Phacellodomus maculipectus		19	3
Chestnut-backed Thornbird	Phacellodomus dorsalis		18	0
Greater Thornbird	Phacellodomus ruber		63	38
Orange-eyed Thornbird	Phacellodomus erythrophthalmus		50	7
Orange-breasted Thornbird	Phacellodomus ferrugineigula		44	8
Canebrake Groundcreeper	Clibanornis dendrocolaptoides		47	2
Bay-capped Wren-Spinetail	Spartonoica maluroides		32	1
Wren-like Rushbird	Phleocryptes melanops		102	35
Curve-billed Reedhaunter	Limnornis curvirostris		36	1
Straight-billed Reedhaunter	Limnoctites rectirostris		31	0
Firewood-gatherer	Anumbius annumbi		45	21
Lark-like Brushrunner	Coryphistera alaudina		24	5
Spectacled Prickletail	Siptornis striaticollis		3	0
Orange-fronted Plushcrown	Metopothrix aurantiaca		18	1
Double-banded Greytail	Xenerpestes minlosi		9	0
Equatorial Greytail	Xenerpestes singularis		19	0
Rusty-winged Barbtail	Premnornis guttuliger		13	1
Spotted Barbtail	Premnoplex brunnescens		78	21
White-throated Barbtail	Premnoplex tatei		6	0
Roraiman Barbtail	Roraimia adusta		8	0
Pink-legged Graveteiro	Acrobatornis fonsecai		10	1
Ruddy Treerunner	Margarornis rubiginosus		9	0
Star-chested Treerunner	Margarornis stellatus		16	1
Beautiful Treerunner	Margarornis bellulus		1	0
Pearled Treerunner	Margarornis squamiger		46	7
Caatinga Cacholote	Pseudoseisura cristata		16	4
Grey-crested Cacholote	Pseudoseisura unirufa		15	14
Brown Cacholote	Pseudoseisura lophotes		43	8
White-throated Cacholote	Pseudoseisura gutturalis		15	0
Buffy Tuftedcheek	Pseudocolaptes lawrencii		5	0
Streaked Tuftedcheek	Pseudocolaptes boissonneautii		43	14
Point-tailed Palmcreeper	Berlepschia rikeri		42	6
Scaly-throated Foliage-gleaner	Anabacerthia variegaticeps		63	14
Montane Foliage-gleaner	Anabacerthia striaticollis		75	22
White-browed Foliage-gleaner	Anabacerthia amaurotis		14	3
Guttulate Foliage-gleaner	Syndactyla guttulata		14	0
Lineated Foliage-gleaner	Syndactyla subalaris		89	46
Buff-browed Foliage-gleaner	Syndactyla rufosuperciliata		188	73
Rufous-necked Foliage-gleaner	Syndactyla ruficollis		28	10
Planalto Foliage-gleaner	Syndactyla dimidiata		12	0
Tepui Foliage-gleaner	Syndactyla roraimae		12	0
Peruvian Recurvebill	Simoxenops ucayalae		42	13
Bolivian Recurvebill	Simoxenops striatus		4	2
Chestnut-winged Hookbill	Ancistrops strigilatus		25	40
Eastern Woodhaunter	Hyloctistes subulatus		69	69
Western Woodhaunter	Hyloctistes virgatus		71	23
Rufous-tailed Foliage-gleaner	Philydor ruficaudatum		20	8
Slaty-winged Foliage-gleaner	Philydor fuscipenne		20	0
Rufous-rumped Foliage-gleaner	Philydor erythrocercum		41	18
Chestnut-winged Foliage-gleaner	Philydor erythropterum		24	14
Ochre-breasted Foliage-gleaner	Philydor lichtensteini		48	5
Alagoas Foliage-gleaner	Philydor novaesi		14	0
Black-capped Foliage-gleaner	Philydor atricapillus		78	23
Buff-fronted Foliage-gleaner	Philydor rufum		76	41
Cinnamon-rumped Foliage-gleaner	Philydor pyrrhodes		42	15
Bamboo Foliage-gleaner	Anabazenops dorsalis		40	8
White-collared Foliage-gleaner	Anabazenops fuscus		80	68
Pale-browed Treehunter	Cichlocolaptes leucophrus		76	22
Uniform Treehunter	Thripadectes ignobilis		32	8
Streak-breasted Treehunter	Thripadectes rufobrunneus		16	3
Black-billed Treehunter	Thripadectes melanorhynchus		48	9
Striped Treehunter	Thripadectes holostictus		77	18
Streak-capped Treehunter	Thripadectes virgaticeps		77	9
Flammulated Treehunter	Thripadectes flammulatus		47	6
Peruvian Treehunter	Thripadectes scrutator		9	1
